GEO.id,Zipcode,GEO.display-label,NAICS.id,NAICS.display-label,RCPSZFE.id,RCPSZFE.display-label,YEAR.id,ESTAB
8610000US11354,11354,"ZIP 11354 (Flushing, NY)",7211,Traveler accommodation,1,All establishments,2012,11
8610000US11357,11357,"ZIP 11357 (Whitestone, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11360,11360,"ZIP 11360 (Bayside, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11361,11361,"ZIP 11361 (Bayside, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11362,11362,"ZIP 11362 (Little Neck, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11368,11368,"ZIP 11368 (Corona, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11369,11369,"ZIP 11369 (East Elmhurst, NY)",7211,Traveler accommodation,1,All establishments,2012,6
8610000US11370,11370,"ZIP 11370 (East Elmhurst, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US11373,11373,"ZIP 11373 (Elmhurst, NY)",7211,Traveler accommodation,1,All establishments,2012,6
8610000US11374,11374,"ZIP 11374 (Rego Park, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11377,11377,"ZIP 11377 (Woodside, NY)",7211,Traveler accommodation,1,All establishments,2012,4
8610000US11378,11378,"ZIP 11378 (Maspeth, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11385,11385,"ZIP 11385 (Ridgewood, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11411,11411,"ZIP 11411 (Cambria Heights, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11414,11414,"ZIP 11414 (Howard Beach, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11417,11417,"ZIP 11417 (Ozone Park, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11418,11418,"ZIP 11418 (Richmond Hill, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11420,11420,"ZIP 11420 (South Ozone Park, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11426,11426,"ZIP 11426 (Bellerose, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11427,11427,"ZIP 11427 (Queens Village, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11428,11428,"ZIP 11428 (Queens Village, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11429,11429,"ZIP 11429 (Queens Village, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11430,11430,"ZIP 11430 (Jamaica, NY)",7211,Traveler accommodation,1,All establishments,2012,5
