ZIP CODE,tc_1# of Properties,tc_1Finance FY'2017 Market Value Total,tc_1Average Market Value,tc_1Finance FY'2017 Assessed Value Land,tc_1Finance FY'2017 Assessed Value Total,tc_1Average Assessed Value,tc_1Finance FY'2017 Exempt Value Land,tc_1Finance FY'2017 Exempt Value Total,"tc_1Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1FY'2017 Median Effective Tax Rate,"tc_1FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1FY'2017 Median Actual Assessment Ratio,tc_1FY'2017 Taxes w/out Exemptions,tc_1FY'2017 Average Taxes w/out Exemptions,tc_1FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1FY'2017 Median Effective Tax Rate w/out Exemption,tc_2 # OF PROPERTIES,tc_2 FY'2017 MARKET VALUE LAND,tc_2 FY'2017 MARKET VALUE TOTAL,tc_2 FY'2017 ASSESSED VALUE LAND,tc_2 FY'2017 ASSESSED VALUE TOTAL,tc_2 FY'2017 EXEMPT VALUE LAND,tc_2 FY'2017 EXEMPT VALUE TOTAL,tc_2 FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2 FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2 Average Actual Assessment Ratio,tc_2 Median Actual Assessment Ratio,tc_2 FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2 FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2 TOTAL UNITS,tc_2 RESIDENTIAL UNITS,tc_2 LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2 Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,Actual Assessed Value Per Gross Square Foot,Taxes w/out Exemption Per Residential Unit,Taxes w/out Exemption Per Gross Square Foot,White,Non-White,Black or African American,Asian,Hispanic Origin of Any Race
10033,52,43815000,842596,770608,1353607,26031,81366,141708,1211899,242271,0.0055,0.0054,0.0309,0.0286,270600,5204,0.0062,0.0057,729,"$180,753,428 ","$1,384,767,989 ","$74,777,081 ","$529,639,632 ","$6,900,107 ","$35,510,494 ","$79,329,721 ","$618,148,041 ",44.64%,45.00%,"$7,113,652 ","$42,682,979 ","20,713","20,037","4,984,726","20,260,918","492,747,312","63,524,983",4.59%,4.66%,"79,691,645",5.75%,5.80%,"$69,111 ",$68 ,"$30,850 ",$31 ,"$3,977 ",$3.93 ,42%,58%,9%,3%,69%
10034,31,27189000,877065,721351,1041558,33599,69093,78362,963196,192553,0.0071,0.0081,0.0383,0.0434,208218,6717,0.0077,0.0087,429,"$110,340,996 ","$951,721,002 ","$48,143,342 ","$364,193,556 ","$9,635,549 ","$57,768,120 ","$48,573,544 ","$425,752,186 ",44.73%,45.00%,"$9,918,302 ","$68,556,173 ","16,080","15,734","3,885,247","13,876,970","306,170,916","39,471,554",4.15%,4.69%,"54,887,972",5.77%,5.80%,"$60,488 ",$69 ,"$27,059 ",$31 ,"$3,488 ",$3.96 ,36%,64%,8%,2%,76%
10035,290,443914250,1530739,4301319,11502287,39663,354473,3594875,7907412,1580771,0.0036,0.0033,0.0259,0.0278,2299422,7929,0.0052,0.0056,"1,133","$273,918,162 ","$1,317,405,393 ","$83,222,311 ","$447,356,771 ","$47,572,792 ","$319,156,217 ","$89,601,303 ","$514,012,064 ",39.02%,45.00%,"$48,900,519 ","$366,559,694 ","15,630","15,189","4,703,317","14,245,727","127,259,925","16,406,350",1.25%,0.45%,"66,266,435",5.03%,5.80%,"$86,734 ",$92 ,"$33,841 ",$36 ,"$4,363 ",$4.65 ,21%,79%,42%,5%,46%
10036,32,179710000,5615938,1919780,4940500,154391,9300,9300,4931200,985796,0.0055,0.0054,0.0275,0.0268,987655,30864,0.0055,0.0054,"3,014","$897,769,816 ","$4,760,586,843 ","$302,198,859 ","$1,668,894,243 ","$83,826,300 ","$770,985,016 ","$350,408,211 ","$1,949,199,790 ",40.94%,45.00%,"$116,846,664 ","$926,207,500 ","22,650","22,207","10,308,459","36,152,118","892,282,181","115,033,019",2.42%,4.01%,"251,290,837",5.28%,5.80%,"$214,373 ",$132 ,"$87,774 ",$54 ,"$11,316 ",$6.95 ,67%,33%,7%,17%,17%
10037,49,84180000,1717959,612428,1822230,37188,47374,281454,1540776,308017,0.0037,0.0031,0.0216,0.0197,364282,7434,0.0043,0.0039,448,"$141,292,823 ","$875,704,431 ","$47,442,734 ","$316,903,564 ","$33,932,167 ","$232,052,180 ","$52,646,939 ","$375,983,909 ",42.94%,45.00%,"$35,178,721 ","$274,654,297 ","10,844","10,728","3,922,059","9,633,668","84,846,904","10,938,463",1.25%,1.19%,"48,471,846",5.54%,5.80%,"$81,628 ",$91 ,"$35,047 ",$39 ,"$4,518 ",$5.03 ,11%,89%,74%,3%,22%
10038,13,72421000,5570846,1098854,2153207,165631,13440,13440,2139767,427761,0.0059,0.0055,0.0297,0.0278,430448,33111,0.0059,0.0056,"1,623","$496,906,497 ","$2,486,380,141 ","$210,151,563 ","$923,621,701 ","$49,441,957 ","$317,364,689 ","$211,914,672 ","$1,080,506,309 ",43.46%,45.00%,"$49,957,006 ","$372,832,879 ","12,072","11,785","4,337,890","19,411,291","604,509,658","77,933,385",3.13%,4.93%,"139,298,873",5.60%,5.80%,"$210,978 ",$128 ,"$91,685 ",$56 ,"$11,820 ",$7.18 ,49%,51%,6%,33%,16%
10039,1,1386000,1386000,14195,29631,29631,0,0,29631,5924,0.0043,0.0043,0.0214,0.0214,5924,5924,0.0043,0.0043,635,"$144,328,985 ","$811,723,833 ","$57,621,489 ","$306,723,843 ","$44,862,804 ","$244,905,901 ","$58,954,729 ","$355,977,231 ",43.85%,45.00%,"$45,711,352 ","$284,427,614 ","12,155","11,920","10,814,503","13,211,690","60,641,012","7,817,839",0.96%,0.51%,"45,892,585",5.65%,5.80%,"$68,098 ",$61 ,"$29,864 ",$27 ,"$3,850 ",$3.47 ,14%,86%,65%,2%,31%
10040,9,7575000,841667,115362,221042,24560,4650,4650,216392,43259,0.0057,0.0061,0.0292,0.031,44189,4910,0.0058,0.0062,458,"$126,324,694 ","$976,776,992 ","$50,394,315 ","$371,592,884 ","$5,737,999 ","$44,973,901 ","$56,337,881 ","$438,974,769 ",44.94%,45.00%,"$5,808,368 ","$54,365,429 ","16,372","15,970","3,958,885","14,773,017","326,338,065","42,071,503",4.31%,4.94%,"56,592,627",5.79%,5.80%,"$61,163 ",$66 ,"$27,487 ",$30 ,"$3,544 ",$3.83 ,38%,62%,10%,2%,71%
10041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,#DIV/0!,0.00%,$0 ,$0 ,0,0,"160,692","3,678,000",0,0,#DIV/0!,0.00%,0,#DIV/0!,0.00%,#DIV/0!,$0 ,#DIV/0!,$0 ,#DIV/0!,$0.00 ,,,,,
10044,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,587,"$403,828,255 ","$1,491,464,392 ","$180,949,906 ","$606,795,724 ","$180,949,891 ","$606,795,677 ","$181,722,720 ","$671,158,984 ",45.00%,45.00%,"$181,722,705 ","$671,158,937 ","11,962","11,875","5,251,122","9,213,711",47,6,0.00%,0.00%,"86,525,816",5.80%,5.80%,"$125,597 ",$162 ,"$56,519 ",$73 ,"$7,286 ",$9.39 ,56%,44%,14%,23%,
10065,310,4307958536,13896640,52410112,136290037,439645,4293153,13687760,122602277,24509421,0.0057,0.0065,0.0316,0.0326,27245741,87889,0.0063,0.0065,"4,503","$1,795,412,698 ","$7,121,662,364 ","$752,025,428 ","$2,716,558,711 ","$29,538,885 ","$129,554,404 ","$753,325,591 ","$3,058,010,947 ",42.94%,45.00%,"$30,362,333 ","$139,607,098 ","22,840","22,056","10,396,737","37,144,883","2,585,448,957","333,316,080",4.68%,5.15%,"394,238,771",5.54%,5.80%,"$322,890 ",$192 ,"$138,648 ",$82 ,"$17,874 ",$10.61 ,87%,13%,3%,7%,5%
10069,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"2,132","$200,308,655 ","$1,811,697,003 ","$82,621,689 ","$695,215,991 ","$8,358,660 ","$256,376,283 ","$90,138,945 ","$815,263,735 ",45.00%,45.00%,"$15,905,135 ","$301,324,651 ","4,615","4,592","10,357,661","9,822,318","438,839,708","56,575,215",3.12%,4.01%,"105,103,801",5.80%,5.80%,"$394,533 ",$184 ,"$177,540 ",$83 ,"$22,888 ",$10.70 ,76%,24%,3%,18%,
10075,149,2128217563,14283339,21913736,58768389,394419,747495,2083950,56684439,11331786,0.0053,0.0056,0.0276,0.0283,11748389,78848,0.0055,0.0056,"2,984","$1,123,605,166 ","$4,951,653,295 ","$459,107,764 ","$1,853,689,018 ","$18,341,791 ","$81,097,208 ","$461,138,080 ","$2,103,702,445 ",42.48%,45.00%,"$19,171,908 ","$95,609,513 ","18,409","17,884","11,222,241","23,363,935","1,766,469,158","227,733,204",4.60%,5.04%,"271,209,319",5.48%,5.80%,"$276,876 ",$212 ,"$117,630 ",$90 ,"$15,165 ",$11.61 ,89%,11%,1%,6%,8%
10103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,#DIV/0!,0.00%,$0 ,$0 ,0,0,"61,755","1,329,229",0,0,#DIV/0!,0.00%,0,#DIV/0!,0.00%,#DIV/0!,$0 ,#DIV/0!,$0 ,#DIV/0!,$0.00 ,,,,,
10162,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,"$20,500,000 ","$110,534,000 ","$9,225,000 ","$35,844,660 ",$0 ,$0 ,"$9,225,000 ","$49,740,300 ",45.00%,45.00%,$0 ,$0 ,427,427,"34,500","530,809","35,844,660","4,621,094",4.18%,4.18%,"6,412,519",5.80%,5.80%,"$258,862 ",$208 ,"$116,488 ",$94 ,"$15,018 ",$12.08 ,95%,5%,0%,5%,
10271,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,#DIV/0!,0.00%,$0 ,$0 ,0,0,"49,614","1,736,513",0,0,#DIV/0!,0.00%,0,#DIV/0!,0.00%,#DIV/0!,$0 ,#DIV/0!,$0 ,#DIV/0!,$0.00 ,,,,,
