ZIP CODE,tc_2 # OF PROPERTIES,tc_2  FY'2017 MARKET VALUE LAND,tc_2  FY'2017 MARKET VALUE TOTAL,tc_2  FY'2017 ASSESSED VALUE LAND,tc_2  FY'2017 ASSESSED VALUE TOTAL,tc_2  FY'2017 EXEMPT VALUE LAND,tc_2  FY'2017 EXEMPT VALUE TOTAL,tc_2  FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2  FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2  Average Actual Assessment Ratio,tc_2  Median Actual Assessment Ratio,tc_2  FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2  FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2  TOTAL UNITS,tc_2  RESIDENTIAL UNITS,tc_2  LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2  Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,tc_2 Actual Assessed Value Per Gross Square Foot,tc_2 Taxes w/out Exemption Per Residential Unit,tc_2 Taxes w/out Exemption Per Gross Square Foot,tc_1 # of Properties,tc_1 Finance FY'2017 Market Value Total,tc_1 Average Market Value,tc_1 Finance FY'2017 Assessed Value Land,tc_1 Finance FY'2017 Assessed Value Total,tc_1 Average Assessed Value,tc_1 Finance FY'2017 Exempt Value Land,tc_1 Finance FY'2017 Exempt Value Total,"tc_1 Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1 FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1 FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1 FY'2017 Median Effective Tax Rate,"tc_1 FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1 FY'2017 Median Actual Assessment Ratio,tc_1 FY'2017 Taxes w/out Exemptions,tc_1 FY'2017 Average Taxes w/out Exemptions,tc_1 FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1 FY'2017 Median Effective Tax Rate w/out Exemption
10314,1213,38988531,135592968,14146122,53719876,4746077,17861496,15886279,57082668,0.421,0.45,5060067,15315696,2555,2531,73357986,7822093,35836780,4620078,0.0341,0.0502,7359098,0.0543,0.058,53573,17,22553,7,2908,0.94,3683,1655038968,449373,31669806,89498686,24300,5712015,8385085,81113601,16215420,0.0098,0.0104,0.0541,0.0553,17891682,4858,0.0108,0.011
10451,452,77902231,902301148,31685402,344630348,21019816,245065398,32932063,389253253,0.4314,0.45,21325177,270406943,19724,19323,8440605,21013093,99157511,12783386,0.0142,0.003,50182529,0.0556,0.058,46696,43,20145,19,2597,2.39,1798,1202234719,668651,22269277,54328118,30216,5458815,7098015,47230103,9441770,0.0079,0.0087,0.0452,0.0469,10860734,6040,0.009,0.0094
10452,540,90511808,1001851828,35683125,375175290,13413479,143739292,38864637,434532422,0.4337,0.45,14098536,173569178,26354,25927,6797430,25596632,223088323,28760547,0.0287,0.0197,56019920,0.0559,0.058,38641,39,16760,17,2161,2.19,1493,699831446,468742,15060146,36475884,24431,2684788,3439453,33036431,6604313,0.0094,0.0101,0.0521,0.0553,7291894,4884,0.0104,0.0111
10453,563,96773076,1039092445,37535289,387746687,14959220,173719183,40615992,453929404,0.4369,0.45,17065160,211996150,37792,37485,7113824,25485841,210495390,27137066,0.0261,0.041,58520579,0.0563,0.058,27720,41,12110,18,1561,2.3,2377,1293336639,544105,27441078,69712140,29328,6643087,8850474,60861666,12166856,0.0094,0.0105,0.0539,0.0576,13936154,5863,0.0108,0.0115
10454,378,52075929,709469037,18038148,254051274,13373461,200746765,18254955,285402093,0.4023,0.45,13368774,224210095,13425,13117,3908071,13635239,52831163,6810994,0.0096,0.0091,36794038,0.0519,0.058,54088,52,21758,21,2805,2.7,5,24812000,4962400,514803,514803,102961,514803,514803,0,0,0,0,0.0207,0.0224,102914,20583,0.0041,0.0045
10455,425,65157476,622398687,21906516,218769895,14159868,157742206,26444858,253789316,0.4078,0.45,16866108,182014354,14092,13786,3934326,12898554,60246977,7767040,0.0125,0.0112,32718519,0.0526,0.058,45147,48,18409,20,2373,2.54,3226,1472622876,456486,26638139,75957395,23545,4030295,7182310,68775085,13748827,0.0093,0.0099,0.0516,0.0524,15184643,4707,0.0103,0.0105
10456,804,115030112,1143378082,43503861,417877812,24784662,267536435,45775935,479280982,0.4192,0.45,26703097,310130805,27694,27262,8624516,27812102,144823347,18670626,0.0163,0.0108,61788904,0.054,0.058,41940,41,17581,17,2266,2.22,749,356160600,475515,5637687,15100375,20161,975694,1890466,13209909,2640793,0.0074,0.008,0.0424,0.0424,3018716,4030,0.0085,0.0085
10457,660,92920933,1011055063,33522705,364064315,16262796,155092936,36184347,415894278,0.4113,0.45,17874363,176534081,23325,22961,5713321,21295947,206990802,26685254,0.0264,0.0222,53617090,0.053,0.058,44034,47,18113,20,2335,2.52,20240,8749025294,432264,168982915,474810719,23459,30826188,44167010,430643709,86089984,0.0098,0.0105,0.0543,0.0558,94919411,4690,0.0108,0.0112
10458,953,134819336,1199029560,38239535,400504385,8435724,91227043,52406923,467278685,0.3897,0.45,9503868,102274466,26492,25910,6634953,25204010,308469593,39767900,0.0332,0.0412,60241568,0.0502,0.058,46277,48,18035,19,2325,2.39,1077,516982200,480021,10286996,28935819,26867,2003962,2741492,26194327,5236508,0.0101,0.0108,0.056,0.0576,5784560,5371,0.0112,0.0115
10459,654,81870480,675894449,29246799,237669737,18326299,145791917,32279416,270082561,0.3996,0.45,20394181,166632145,14600,14195,4967069,15587321,90623363,11683164,0.0173,0.0083,34819044,0.0515,0.058,47615,43,19027,17,2453,2.23,2237,2211371524,988543,38842491,107248320,47943,5160235,6838195,100410125,20072988,0.0091,0.0098,0.0485,0.0519,21440012,9584,0.0097,0.0104
