Zip Code,# of Properties,Finance FY'2017 Market Value Total,Average Market Value,Finance FY'2017 Assessed Value Land,Finance FY'2017 Assessed Value Total,Average Assessed Value,Finance FY'2017 Exempt Value Land,Finance FY'2017 Exempt Value Total,"Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),FY'2017 Median Effective Tax Rate,"FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",FY'2017 Median Actual Assessment Ratio,FY'2017 Taxes w/out Exemptions,FY'2017 Average Taxes w/out Exemptions,FY'2017 Average Effective Tax Rate w/out Exemptions,FY'2017 Median Effective Tax Rate w/out Exemption,,,,,,,,,,
10037,49 ,"$84,180,000 ","$1,717,959 ","$612,428 ","$1,822,230 ","$37,188 ","$47,374 ","$281,454 ","$1,540,776 ","$308,017 ",0.37%,0.31%,2.16%,1.97%,"364,282 ","$7,434 ",0.43%,0.39%,,,,,,,,,,
10038,13 ,"$72,421,000 ","$5,570,846 ","$1,098,854 ","$2,153,207 ","$165,631 ","$13,440 ","$13,440 ","$2,139,767 ","$427,761 ",0.59%,0.55%,2.97%,2.78%,"430,448 ","$33,111 ",0.59%,0.56%,,,,,,,,,,
10039,1 ,"$1,386,000 ","$1,386,000 ","$14,195 ","$29,631 ","$29,631 ",$0 ,$0 ,"$29,631 ","$5,924 ",0.43%,0.43%,2.14%,2.14%,"5,924 ","$5,924 ",0.43%,0.43%,,,,,,,,,,
10040,9 ,"$7,575,000 ","$841,667 ","$115,362 ","$221,042 ","$24,560 ","$4,650 ","$4,650 ","$216,392 ","$43,259 ",0.57%,0.61%,2.92%,3.10%,"44,189 ","$4,910 ",0.58%,0.62%,,,,,,,,,,
10065,310 ,"$4,307,958,536 ","$13,896,640 ","$52,410,112 ","$136,290,037 ","$439,645 ","$4,293,153 ","$13,687,760 ","$122,602,277 ","$24,509,421 ",0.57%,0.65%,3.16%,3.26%,"27,245,741 ","$87,889 ",0.63%,0.65%,,,,,,,,,,
10075,149 ,"$2,128,217,563 ","$14,283,339 ","$21,913,736 ","$58,768,389 ","$394,419 ","$747,495 ","$2,083,950 ","$56,684,439 ","$11,331,786 ",0.53%,0.56%,2.76%,2.83%,"11,748,389 ","$78,848 ",0.55%,0.56%,,,,,,,,,,
10128,289 ,"$2,638,587,266 ","$9,130,060 ","$29,701,745 ","$74,701,915 ","$258,484 ","$1,092,103 ","$2,151,588 ","$72,550,327 ","$14,503,536 ",0.55%,0.59%,2.83%,2.98%,"14,933,660 ","$51,674 ",0.57%,0.60%,,,,,,,,,,
10129,1 ,"$7,421,000 ","$7,421,000 ","$126,965 ","$294,900 ","$294,900 ",$0 ,$0 ,"$294,900 ","$58,953 ",0.79%,0.79%,3.97%,3.97%,"58,953 ","$58,953 ",0.79%,0.79%,,,,,,,,,,
10301,"6,971 ","$3,454,559,452 ","$495,562 ","$83,909,046 ","$176,018,076 ","$25,250 ","$14,711,095 ","$16,637,227 ","$159,380,849 ","$31,861,826 ",0.92%,0.99%,5.10%,5.33%,"35,187,774 ","$5,048 ",1.02%,1.06%,,,,,,,,,,
10302,"4,147 ","$1,456,499,286 ","$351,218 ","$34,790,771 ","$77,874,952 ","$18,779 ","$6,790,061 ","$8,207,201 ","$69,667,751 ","$13,927,280 ",0.96%,1.02%,5.35%,5.51%,"15,567,982 ","$3,754 ",1.07%,1.10%,,,,,,,,,,
10303,"5,673 ","$1,704,301,234 ","$300,423 ","$36,836,473 ","$92,684,024 ","$16,338 ","$7,721,006 ","$9,116,443 ","$83,567,581 ","$16,705,995 ",0.98%,1.05%,5.44%,5.67%,"18,528,463 ","$3,266 ",1.09%,1.13%,,,,,,,,,,
10304,"9,200 ","$4,839,910,844 ","$526,077 ","$96,579,528 ","$246,631,498 ","$26,808 ","$17,104,265 ","$20,760,975 ","$225,870,523 ","$45,153,776 ",0.93%,1.03%,5.10%,5.53%,"49,304,103 ","$5,359 ",1.02%,1.10%,,,,,,,,,,
10305,"11,000 ","$4,417,521,468 ","$401,593 ","$89,044,406 ","$232,269,617 ","$21,115 ","$20,472,820 ","$25,141,602 ","$207,128,015 ","$41,406,961 ",0.94%,1.02%,5.26%,5.56%,"46,433,019 ","$4,221 ",1.05%,1.11%,,,,,,,,,,
10306,"17,102 ","$7,731,794,362 ","$452,099 ","$159,388,581 ","$402,298,169 ","$23,523 ","$44,514,056 ","$55,125,551 ","$347,172,618 ","$69,403,278 ",0.90%,1.00%,5.20%,5.53%,"80,423,427 ","$4,703 ",1.04%,1.10%,,,,,,,,,,
10307,"4,204 ","$2,462,233,935 ","$585,688 ","$47,389,327 ","$127,531,883 ","$30,336 ","$8,110,416 ","$9,833,185 ","$117,698,698 ","$23,529,147 ",0.96%,1.02%,5.18%,5.42%,"25,494,899 ","$6,064 ",1.04%,1.08%,,,,,,,,,,
10308,"8,561 ","$3,957,978,170 ","$462,327 ","$82,137,665 ","$216,536,498 ","$25,293 ","$21,664,372 ","$26,801,177 ","$189,735,321 ","$37,929,988 ",0.96%,1.04%,5.47%,5.67%,"43,287,811 ","$5,056 ",1.09%,1.13%,,,,,,,,,,
