ZIP CODE,tc_2 # OF PROPERTIES,tc_2  FY'2017 MARKET VALUE LAND,tc_2  FY'2017 MARKET VALUE TOTAL,tc_2  FY'2017 ASSESSED VALUE LAND,tc_2  FY'2017 ASSESSED VALUE TOTAL,tc_2  FY'2017 EXEMPT VALUE LAND,tc_2  FY'2017 EXEMPT VALUE TOTAL,tc_2  FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2  FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2  Average Actual Assessment Ratio,tc_2  Median Actual Assessment Ratio,tc_2  FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2  FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2  TOTAL UNITS,tc_2  RESIDENTIAL UNITS,tc_2  LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2  Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,tc_2 Actual Assessed Value Per Gross Square Foot,tc_2 Taxes w/out Exemption Per Residential Unit,tc_2 Taxes w/out Exemption Per Gross Square Foot,tc_1 # of Properties,tc_1 Finance FY'2017 Market Value Total,tc_1 Average Market Value,tc_1 Finance FY'2017 Assessed Value Land,tc_1 Finance FY'2017 Assessed Value Total,tc_1 Average Assessed Value,tc_1 Finance FY'2017 Exempt Value Land,tc_1 Finance FY'2017 Exempt Value Total,"tc_1 Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1 FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1 FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1 FY'2017 Median Effective Tax Rate,"tc_1 FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1 FY'2017 Median Actual Assessment Ratio,tc_1 FY'2017 Taxes w/out Exemptions,tc_1 FY'2017 Average Taxes w/out Exemptions,tc_1 FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1 FY'2017 Median Effective Tax Rate w/out Exemption
10023,"8,622","$2,891,598,397 ","$11,640,923,771 ","$1,123,045,834 ","$4,247,980,345 ","$73,269,271 ","$391,168,801 ","$1,158,263,534 ","$4,896,243,592 ",42.06%,45.00%,"$87,727,596 ","$468,713,986 ","44,252","43,631","54,831,661","65,736,667","3,855,220,907","497,015,079",4.27%,5.01%,"631,223,724",5.42%,5.80%,"$266,804 ",$177 ,"$112,219 ",$74 ,"$14,467 ",$9.60 ,592,"$1,176,461,349 ","$1,987,266 ","$6,999,869 ","$24,547,401 ","$41,465 ","$593,869 ","$3,968,311 ","$20,579,090 ","$4,113,966 ",0.35%,0.30%,2.09%,2.04%,"4,907,271","$8,289 ",0.42%,0.41%
10024,"4,702","$2,364,052,818 ","$8,952,898,149 ","$865,948,028 ","$3,082,306,494 ","$52,838,667 ","$176,145,393 ","$872,429,950 ","$3,505,932,067 ",39.16%,45.00%,"$54,051,198 ","$191,489,556 ","36,721","35,495","11,937,931","47,812,847","2,905,507,496","374,578,026",4.18%,4.86%,"451,984,762",5.05%,5.80%,"$252,230 ",$187 ,"$98,773 ",$73 ,"$12,734 ",$9.45 ,201,"$2,029,800,039 ","$10,098,508 ","$24,796,674 ","$59,894,871 ","$297,984 ","$1,479,308 ","$2,666,905 ","$57,227,966 ","$11,440,443 ",0.56%,0.54%,2.95%,2.74%,"11,973,584","$59,570 ",0.59%,0.55%
10025,"7,041","$1,510,540,245 ","$7,408,995,500 ","$606,397,571 ","$2,641,686,763 ","$135,994,280 ","$578,686,972 ","$605,789,735 ","$3,132,291,686 ",42.28%,45.00%,"$136,131,556 ","$683,065,654 ","48,644","47,892","124,674,645","61,124,629","2,062,731,434","265,927,336",3.59%,4.83%,"403,815,044",5.45%,5.80%,"$154,702 ",$121 ,"$65,403 ",$51 ,"$8,432 ",$6.61 ,124,"$191,199,388 ","$1,541,931 ","$1,714,502 ","$4,123,983 ","$33,258 ","$110,707 ","$268,508 ","$3,855,475 ","$770,748 ",0.40%,0.36%,2.16%,1.86%,"824,425","$6,649 ",0.43%,0.37%
10026,"3,222","$355,584,525 ","$1,719,929,589 ","$116,789,531 ","$605,619,551 ","$59,009,177 ","$414,578,629 ","$122,480,881 ","$710,489,722 ",41.31%,45.00%,"$62,064,580 ","$492,654,595 ","22,557","22,231","12,070,745","20,910,789","190,503,511","24,559,713",1.43%,0.68%,"91,596,335",5.33%,5.80%,"$77,366 ",$82 ,"$31,959 ",$34 ,"$4,120 ",$4.38 ,325,"$511,548,324 ","$1,573,995 ","$3,881,876 ","$11,083,343 ","$34,103 ","$505,341 ","$1,446,278 ","$9,637,065 ","$1,926,546 ",0.38%,0.33%,2.17%,1.93%,"2,215,671","$6,817 ",0.43%,0.39%
10027,"1,932","$428,744,344 ","$2,289,080,046 ","$128,969,120 ","$805,715,217 ","$68,864,389 ","$494,140,973 ","$134,329,092 ","$932,742,233 ",40.75%,45.00%,"$70,934,562 ","$566,429,751 ","27,341","26,758","7,592,869","26,318,561","311,375,783","40,142,566",1.75%,1.03%,"120,249,129",5.25%,5.80%,"$85,548 ",$87 ,"$34,858 ",$35 ,"$4,494 ",$4.57 ,466,"$863,835,111 ","$1,853,723 ","$4,981,068 ","$15,383,666 ","$33,012 ","$463,536 ","$1,038,526 ","$14,345,140 ","$2,867,737 ",0.33%,0.32%,1.78%,1.66%,"3,075,349","$6,599 ",0.36%,0.33%
10028,"3,095","$1,805,744,415 ","$8,053,988,206 ","$728,549,594 ","$3,011,456,965 ","$35,473,926 ","$116,956,085 ","$729,186,376 ","$3,410,583,576 ",42.35%,45.00%,"$36,389,659 ","$130,120,248 ","31,377","30,362","8,756,967","39,122,736","2,886,183,437","372,086,769",4.62%,4.96%,"439,692,435",5.46%,5.80%,"$265,265 ",$206 ,"$112,331 ",$87 ,"$14,482 ",$11.24 ,183,"$242,684,000 ","$1,326,142 ","$2,044,945 ","$5,495,012 ","$30,027 ","$227,429 ","$499,118 ","$4,995,894 ","$998,729 ",0.41%,0.42%,2.26%,2.22%,"1,098,508","$6,003 ",0.45%,0.44%
10029,"1,943","$721,364,494 ","$3,757,190,819 ","$253,699,633 ","$1,295,780,563 ","$173,216,009 ","$828,932,558 ","$265,595,359 ","$1,537,863,135 ",40.93%,45.00%,"$176,931,719 ","$989,222,123 ","35,218","34,251","11,460,969","33,782,538","465,597,970","60,024,890",1.60%,2.28%,"198,261,315",5.28%,5.80%,"$109,696 ",$111 ,"$44,900 ",$46 ,"$5,788 ",$5.87 ,52,"$43,815,000 ","$842,596 ","$770,608 ","$1,353,607 ","$26,031 ","$81,366 ","$141,708 ","$1,211,899 ","$242,271 ",0.55%,0.54%,3.09%,2.86%,"270,600","$5,204 ",0.62%,0.57%
10030,"1,315","$236,540,387 ","$976,233,383 ","$69,750,588 ","$324,439,953 ","$34,668,546 ","$204,480,732 ","$71,060,968 ","$381,302,077 ",39.06%,45.00%,"$34,782,080 ","$241,246,545 ","13,315","12,960","3,648,718","11,849,071","119,746,142","15,437,673",1.58%,0.98%,"49,157,464",5.04%,5.80%,"$75,327 ",$82 ,"$29,421 ",$32 ,"$3,793 ",$4.15 ,31,"$27,189,000 ","$877,065 ","$721,351 ","$1,041,558 ","$33,599 ","$69,093 ","$78,362 ","$963,196 ","$192,553 ",0.71%,0.81%,3.83%,4.34%,"208,218","$6,717 ",0.77%,0.87%
10031,"1,646","$245,005,350 ","$1,626,857,019 ","$77,027,528 ","$549,165,525 ","$25,001,736 ","$182,867,726 ","$78,907,071 ","$654,135,960 ",40.21%,45.00%,"$25,248,122 ","$223,559,776 ","23,254","22,582","6,574,825","21,842,584","365,796,169","47,158,442",2.90%,4.03%,"84,331,208",5.18%,5.80%,"$72,042 ",$74 ,"$28,967 ",$30 ,"$3,734 ",$3.86 ,290,"$443,914,250 ","$1,530,739 ","$4,301,319 ","$11,502,287 ","$39,663 ","$354,473 ","$3,594,875 ","$7,907,412 ","$1,580,771 ",0.36%,0.33%,2.59%,2.78%,"2,299,422","$7,929 ",0.52%,0.56%
10032,"1,156","$212,777,465 ","$1,451,840,006 ","$82,524,467 ","$520,549,450 ","$21,064,779 ","$127,472,270 ","$85,559,532 ","$631,773,573 ",43.52%,45.00%,"$21,939,491 ","$153,437,729 ","21,884","21,298","9,345,097","21,750,269","392,465,901","50,596,704",3.49%,4.51%,"81,448,249",5.61%,5.80%,"$68,168 ",$67 ,"$29,664 ",$29 ,"$3,824 ",$3.74 ,32,"$179,710,000 ","$5,615,938 ","$1,919,780 ","$4,940,500 ","$154,391 ","$9,300 ","$9,300 ","$4,931,200 ","$985,796 ",0.55%,0.54%,2.75%,2.68%,"987,655","$30,864 ",0.55%,0.54%
